title,description,final_description,skill_level,pattern_link,local_path
Sequin Hearts Wrap,Wear your heart on your sleeve-- or rather your back-- with this gorgeous Sequin Hearts Wrap! Use white yarn and sequins to create this wearable crochet pattern. It will add the perfect amount of sparkle to any outfit!,Sequin Hearts Wrap Wear your heart on your sleeve-- or rather your back-- with this gorgeous Sequin Hearts Wrap! Use white yarn and sequins to create this wearable crochet pattern. It will add the perfect amount of sparkle to any outfit! Intermediate F/5 or 3.75 mm hook (4) Medium Weight/Worsted Weight and Aran (16-20 stitches to 4 inches),Intermediate,https://www.allfreecrochet.com/Crochet-Wrap-Patterns/Sequin-Hearts-Wrap,Sequin_Hearts_Wrap.jpg
Griffin Shawl,"""For this crochet shawl / scarf, I chose Lion Brand Yarns Mandala in Griffin, which is a DK weight, self-striping yarn. All of the colorwork was done for me which made this a perfect crochet project for binge watching my favorite TV shows. And I don’t know about you, but my favorite part about this yarn is that I wasn’t left with a bunch of ends to weave in! This shawl pattern size is easily customizable.""","Griffin Shawl ""For this crochet shawl / scarf, I chose Lion Brand Yarns Mandala in Griffin, which is a DK weight, self-striping yarn. All of the colorwork was done for me which made this a perfect crochet project for binge watching my favorite TV shows. And I don’t know about you, but my favorite part about this yarn is that I wasn’t left with a bunch of ends to weave in! This shawl pattern size is easily customizable."" Beginner J/10 or 6 mm hook (3) Light/DK (21-24 stitches to 4 inches)",Beginner,https://www.allfreecrochet.com/Shawls/Griffin-Shawl,Griffin_Shawl.jpg
Butterfly Vibe 12-inch Afghan Square,"""This beautiful 12″ afghan square is simple, quick to work up, and gorgeous! This square pattern reminds me of a butterfly’s wings so we are calling it the Butterfly Vibe Afghan Square.  If you’re not familiar with afghan squares, what’s great about them is that yes, you can compile a bunch of them into one large blanket, but you can also whip up one for a child’s lovey (I’d just keep adding more rows) or make two of them to form a pillow cover!""","Butterfly Vibe 12-inch Afghan Square ""This beautiful 12″ afghan square is simple, quick to work up, and gorgeous! This square pattern reminds me of a butterfly’s wings so we are calling it the Butterfly Vibe Afghan Square. If you’re not familiar with afghan squares, what’s great about them is that yes, you can compile a bunch of them into one large blanket, but you can also whip up one for a child’s lovey (I’d just keep adding more rows) or make two of them to form a pillow cover!"" Beginner J/10 or 6 mm hook (4) Medium Weight/Worsted Weight and Aran (16-20 stitches to 4 inches) 12"" square",Beginner,https://www.allfreecrochet.com/Crochet-Afghan-Patterns/Butterfly-Vibe-12-inch-Afghan-Square-154599,Butterfly_Vibe_12-inch_Afghan_Square.jpg
Candy Swirl Shawl,"""With warm weather and bright spring colors making the world feel extra inspirational lately, this free shawl crochet pattern is perfect for the season! The stripes give you the perfect opportunity to play with color, while the fun swirl adds a unique element. Add a lovely texture to the mix, and you’ll enjoy having this crochet shawl fly off your hook! This free crochet shawl pattern features DK (3) or Light Worsted (4) Weight Yarn and size 6.5mm crochet hook.""","Candy Swirl Shawl ""With warm weather and bright spring colors making the world feel extra inspirational lately, this free shawl crochet pattern is perfect for the season! The stripes give you the perfect opportunity to play with color, while the fun swirl adds a unique element. Add a lovely texture to the mix, and you’ll enjoy having this crochet shawl fly off your hook! This free crochet shawl pattern features DK (3) or Light Worsted (4) Weight Yarn and size 6.5mm crochet hook."" Beginner K/10.5 or 6.5 mm hook (3) Light/DK (21-24 stitches to 4 inches) Child, Pre-teen/Teen, or Adult",Beginner,https://www.allfreecrochet.com/Shawls/Candy-Swirl-Shawl,Candy_Swirl_Shawl.jpg
Lisa Wrap,"""The Lisa Wrap was inspired by my Fins Wrap, and can be made to any size you would like, you are only limited by how much yarn you have! The sample was made with 1 full skein of Lisa Souza Hardtwist, 100% Superwash Merino. Buy a second skein for a nice long wrap, or stay with just one skein for a pretty, smaller wrap as seen in the sample. So grab your hook and get creating!""","Lisa Wrap ""The Lisa Wrap was inspired by my Fins Wrap, and can be made to any size you would like, you are only limited by how much yarn you have! The sample was made with 1 full skein of Lisa Souza Hardtwist, 100% Superwash Merino. Buy a second skein for a nice long wrap, or stay with just one skein for a pretty, smaller wrap as seen in the sample. So grab your hook and get creating!"" Intermediate 4.5 mm hook (2) Fine (23-26 stitches to 4 inches) 48″ x 13″",Intermediate,https://www.allfreecrochet.com/Shawls/Lisa-Wrap,Lisa_Wrap.jpg
Sargassum,"""Capture the feeling of delicate, lacy strands of seaweed, white sand beaches littered with shells, and the sparkle of sunshine on the clear, blue ocean. Sargassum is the name of a seaweed that washes ashore on the gulf beaches of Florida, where I recently went for a vacation. The days were full of warm sunshine, but there was still enough of a chill in the early mornings and late evenings to make this shawl a welcome accessory. The striping pattern gently shifts from more green to more blue, without repeating, while optional beads add a nice weight, and occasional sparkle as they catch the sunlight.""","Sargassum ""Capture the feeling of delicate, lacy strands of seaweed, white sand beaches littered with shells, and the sparkle of sunshine on the clear, blue ocean. Sargassum is the name of a seaweed that washes ashore on the gulf beaches of Florida, where I recently went for a vacation. The days were full of warm sunshine, but there was still enough of a chill in the early mornings and late evenings to make this shawl a welcome accessory. The striping pattern gently shifts from more green to more blue, without repeating, while optional beads add a nice weight, and occasional sparkle as they catch the sunlight."" Intermediate G/6 or 4 mm hook (2) Fine (23-26 stitches to 4 inches) About 27 x 60 inches after blocking.",Intermediate,https://www.allfreecrochet.com/Shawls/Sargassum,Sargassum.jpg
One Skein Lilac Blanket,"This One Skein Lilac Blanket is the best free crochet pattern to make for any little baby in your life. Beautiful light purple yarn makes this an excellent choice for a spring baby, but you're welcome to use any color Caron One Pound yarn for this particular crocheted afghan. The texture and timeless design of this baby blanket makes this a classic item that will be cherished for years to come. Plus, it works up quickly, making this a wonderful choice for holiday gifts and baby showers.","One Skein Lilac Blanket This One Skein Lilac Blanket is the best free crochet pattern to make for any little baby in your life. Beautiful light purple yarn makes this an excellent choice for a spring baby, but you're welcome to use any color Caron One Pound yarn for this particular crocheted afghan. The texture and timeless design of this baby blanket makes this a classic item that will be cherished for years to come. Plus, it works up quickly, making this a wonderful choice for holiday gifts and baby showers. Beginner K/10.5 or 6.5 mm hook (4) Medium Weight/Worsted Weight and Aran (16-20 stitches to 4 inches) Approx 34"" [86.5 cm] square",Beginner,https://www.allfreecrochet.com/Baby-Afghan-Crochet-Patterns/One-Skein-Lilac-Blanket-Caron,One_Skein_Lilac_Blanket.jpg
Say a Little Prayer Shawl,"The Say a Little Prayer Shawl from Red Heart is an easy crochet pattern to make for someone that need a little extra comfort and support in their life. If you or someone you know is struggling either mentally, emotionally, or physically, then this free crochet shawl is just what the doctor ordered. It will not only provide warmth to anyone that wears it, but also comfort and love. It's a truly heartwarming feeling to know that this cozy crochet shawl was made specifically for you by someone that loves you.","Say a Little Prayer Shawl The Say a Little Prayer Shawl from Red Heart is an easy crochet pattern to make for someone that need a little extra comfort and support in their life. If you or someone you know is struggling either mentally, emotionally, or physically, then this free crochet shawl is just what the doctor ordered. It will not only provide warmth to anyone that wears it, but also comfort and love. It's a truly heartwarming feeling to know that this cozy crochet shawl was made specifically for you by someone that loves you. Beginner I/9 or 5.5 mm hook (4) Medium Weight/Worsted Weight and Aran (16-20 stitches to 4 inches) Shawl is 18” wide x 56” long",Beginner,https://www.allfreecrochet.com/Prayer-Shawls/Say-a-Little-Prayer-Shawl-Red-Heart,Say_a_Little_Prayer_Shawl.jpg
Sand Dollar Dream Afghan,"Make this Sand Dollar Dream Afghan if you're looking to brighten up your home.  The beautiful star design will make you feel like you're relaxing under the evening sky or surfing the waves at the beach. This free crochet afghan pattern by Bernat is an intermediate crochet pattern to complete. Use your two favorite contrasting colors to complete this homemade blanket, or choose two colors that match your home decor. It measures approximately 44 by 54 inches when complete. Use your two favorite contrasting colors to complete this homemade blanket, or choose two colors that match your home decor. It measures approximately 44 by 54 inches when complete.

Thanks to imjstagrl 6312434 for the great name suggestion! You all had amazing suggestions!","Sand Dollar Dream Afghan Make this Sand Dollar Dream Afghan if you're looking to brighten up your home. The beautiful star design will make you feel like you're relaxing under the evening sky or surfing the waves at the beach. This free crochet afghan pattern by Bernat is an intermediate crochet pattern to complete. Use your two favorite contrasting colors to complete this homemade blanket, or choose two colors that match your home decor. It measures approximately 44 by 54 inches when complete. Use your two favorite contrasting colors to complete this homemade blanket, or choose two colors that match your home decor. It measures approximately 44 by 54 inches when complete. Thanks to imjstagrl 6312434 for the great name suggestion! You all had amazing suggestions! Intermediate J/10 or 6 mm hook (4) Medium Weight/Worsted Weight and Aran (16-20 stitches to 4 inches)",Intermediate,https://www.allfreecrochet.com/Crochet-Afghan-Patterns/Sand-Dollar-Dream-Afghan,Sand_Dollar_Dream_Afghan.jpg
Shamrock Granny Square,"""Easy to follow crochet pattern of 10x10cm/4x4"" square with 3D shamrock motif.
Use very small amounts of DK yarn (10g for each square!) to create unique squares, that you can combine with other square motif and make crochet design of your dreams. Make a blanket, bag, sweater or bunting to celebrate st Patrick's Day!
There's a row by row stitch count for each square.

Skills required (US terms):
-crocheting in rows
-crocheting in rounds
-single crochet
-half double crochet

Pattern is written in US terms, in ENGLISH ONLY.""","Shamrock Granny Square ""Easy to follow crochet pattern of 10x10cm/4x4"" square with 3D shamrock motif. Use very small amounts of DK yarn (10g for each square!) to create unique squares, that you can combine with other square motif and make crochet design of your dreams. Make a blanket, bag, sweater or bunting to celebrate st Patrick's Day! There's a row by row stitch count for each square. Skills required (US terms): -crocheting in rows -crocheting in rounds -single crochet -half double crochet Pattern is written in US terms, in ENGLISH ONLY."" Beginner D/3 or 3.25 mm hook (3) Light/DK (21-24 stitches to 4 inches) 10x10cm/4x4""",Beginner,https://www.allfreecrochet.com/Home-Decorating/Shamrock-Granny-Square-184684,Shamrock_Granny_Square.jpg
The Shell Fold Napkin Edging | Free Crochet Pattern,"""There’s something quietly beautiful about the small details that bring a table together—the kind that feel effortless, yet completely intentional.

This crochet-edged linen napkin was inspired by a moment in Chapter 2 of The Sea Glass Journal, where a simple folding technique transforms an ordinary cloth into something sculptural and refined. With just a few folds and a delicate shell edging, the napkin settles into shape naturally—soft, balanced, and unexpectedly elegant.

The edging is worked in a classic shell pattern using cotton yarn, adding texture and a subtle decorative finish without overwhelming the simplicity of the linen. Paired with an accordion-style fold and a napkin ring, it becomes a beautiful detail for everyday dining or special occasions alike.

Whether you’re setting a table for guests or simply elevating a quiet meal at home, this design is a reminder that the smallest creative touches can make a lasting impression.

The Story Behind the Design

In Chapter 2 of The Sea Glass Journal, the task seems simple—prepare the table. But like so many moments in the story, it’s the quiet transformation of something ordinary that stands out.

“She wanted cloth—folded. Something sculptural…”

With a few deliberate movements, the napkin becomes more than functional. It becomes part of the atmosphere—something thoughtful, something beautiful, something just right.

This pattern was created to capture that feeling.

If you’d like to experience the full moment that inspired this design, you can watch Chapter 2 here:""","The Shell Fold Napkin Edging | Free Crochet Pattern ""There’s something quietly beautiful about the small details that bring a table together—the kind that feel effortless, yet completely intentional. This crochet-edged linen napkin was inspired by a moment in Chapter 2 of The Sea Glass Journal, where a simple folding technique transforms an ordinary cloth into something sculptural and refined. With just a few folds and a delicate shell edging, the napkin settles into shape naturally—soft, balanced, and unexpectedly elegant. The edging is worked in a classic shell pattern using cotton yarn, adding texture and a subtle decorative finish without overwhelming the simplicity of the linen. Paired with an accordion-style fold and a napkin ring, it becomes a beautiful detail for everyday dining or special occasions alike. Whether you’re setting a table for guests or simply elevating a quiet meal at home, this design is a reminder that the smallest creative touches can make a lasting impression. The Story Behind the Design In Chapter 2 of The Sea Glass Journal, the task seems simple—prepare the table. But like so many moments in the story, it’s the quiet transformation of something ordinary that stands out. “She wanted cloth—folded. Something sculptural…” With a few deliberate movements, the napkin becomes more than functional. It becomes part of the atmosphere—something thoughtful, something beautiful, something just right. This pattern was created to capture that feeling. If you’d like to experience the full moment that inspired this design, you can watch Chapter 2 here:"" Beginner B/1 or 2.25 mm hook (1) Super Fine (27-32 stitches to 4 inches) 20 in (50cm) square.",Beginner,https://www.allfreecrochet.com/Home-Decorating/The-Shell-Fold-Napkin-Edging-Free-Crochet-Pattern-192923,The_Shell_Fold_Napkin_Edging__Free_Crochet_Pattern.jpg
Frost Blossom Cowl Crochet Pattern,"""Wrap yourself in cozy texture with the Frost Blossom Cowl, a beautifully simple crochet pattern designed for comfort, style, and everyday wear.
This cowl is part of the Frost Blossom Collection, a special collaboration between Vicky and her daughter Casey. Using the same stitch and yarn combination as the rest of the collection, this piece brings that signature “frost meets bloom” look into a wearable accessory you’ll reach for all season long.
The pattern features the lemon peel stitch—a relaxing combination of single and double crochet stitches that creates a soft, textured fabric with a woven look. It’s easy to learn, enjoyable to repeat, and perfect for crocheters of all skill levels.
This cowl is worked flat in rows and then seamed, making construction simple while still giving you a polished finished piece.
""","Frost Blossom Cowl Crochet Pattern ""Wrap yourself in cozy texture with the Frost Blossom Cowl, a beautifully simple crochet pattern designed for comfort, style, and everyday wear. This cowl is part of the Frost Blossom Collection, a special collaboration between Vicky and her daughter Casey. Using the same stitch and yarn combination as the rest of the collection, this piece brings that signature “frost meets bloom” look into a wearable accessory you’ll reach for all season long. The pattern features the lemon peel stitch—a relaxing combination of single and double crochet stitches that creates a soft, textured fabric with a woven look. It’s easy to learn, enjoyable to repeat, and perfect for crocheters of all skill levels. This cowl is worked flat in rows and then seamed, making construction simple while still giving you a polished finished piece. "" Beginner I/9 or 5.5 mm hook (4) Medium Weight/Worsted Weight and Aran (16-20 stitches to 4 inches)",Beginner,https://www.allfreecrochet.com/Crochet-Accessories/Frost-Blossom-Cowl-Crochet-Pattern-192918,Frost_Blossom_Cowl_Crochet_Pattern.jpg
Lilienne Poncho,"""The Lilienne Poncho is a lightweight rectangle poncho that’s simple to crochet and easy to wear.

Worked in one piece with an airy mesh yoke and textured crossed stitches, it creates a beautiful drape while staying light and breathable.

The design can be worn two ways, giving you a choice of neckline styles with the same piece.

One size fits most body types. Front and back panels measure 38 inches each (76 inches total circumference).

An easy, go-to piece that feels just as lovely to wear as it is to crochet.

/DETAILS
Skill level : Beginner Friendly
US Terminology

/MATERIALS
4mm / G-6 Crochet Hook
Cotton DK (#3 weight) yarn; 1205 yards
Stitch Markers
Tape Measure
Scissors
Needle

/FINISHED SIZE
Each panel measures approx. 38 inches / 97cm (W) X 20 inches / 51 cm (L)

Front and back panels: 38 inches each (76 inches total circumference)

/STITCHES AND ABBREVIATIONS USED
Single crochet (sc)
Double crochet (dc)
Crossed Double Crochet (Xdc)
Slip stitch (sl st)

Chain/s (ch/s)
Continue (cont)
Each (ea)
Previous (prev)
Repeat (rep)
Right Side (RS)
Skip (sk)
Space (sp)
Stitch (st)""","Lilienne Poncho ""The Lilienne Poncho is a lightweight rectangle poncho that’s simple to crochet and easy to wear. Worked in one piece with an airy mesh yoke and textured crossed stitches, it creates a beautiful drape while staying light and breathable. The design can be worn two ways, giving you a choice of neckline styles with the same piece. One size fits most body types. Front and back panels measure 38 inches each (76 inches total circumference). An easy, go-to piece that feels just as lovely to wear as it is to crochet. /DETAILS Skill level : Beginner Friendly US Terminology /MATERIALS 4mm / G-6 Crochet Hook Cotton DK (#3 weight) yarn; 1205 yards Stitch Markers Tape Measure Scissors Needle /FINISHED SIZE Each panel measures approx. 38 inches / 97cm (W) X 20 inches / 51 cm (L) Front and back panels: 38 inches each (76 inches total circumference) /STITCHES AND ABBREVIATIONS USED Single crochet (sc) Double crochet (dc) Crossed Double Crochet (Xdc) Slip stitch (sl st) Chain/s (ch/s) Continue (cont) Each (ea) Previous (prev) Repeat (rep) Right Side (RS) Skip (sk) Space (sp) Stitch (st)"" Beginner G/6 or 4 mm hook (3) Light/DK (21-24 stitches to 4 inches) One Size Front and back panels: 38 inches each (76 inches total circumference)",Beginner,https://www.allfreecrochet.com/Tops/Lilienne-Poncho-192917,Lilienne_Poncho.jpg
