title,description,skill_level,Crochet Hook,Yarn Weight,Finished Size,img_url,local_path,pattern_link,Crochet Gauge,Notes
Sequin Hearts Wrap,Wear your heart on your sleeve-- or rather your back-- with this gorgeous Sequin Hearts Wrap! Use white yarn and sequins to create this wearable crochet pattern. It will add the perfect amount of sparkle to any outfit!,Intermediate,F/5 or 3.75 mm hook,(4) Medium Weight/Worsted Weight and Aran (16-20 stitches to 4 inches),,https://irepo.primecp.com/1003/77/156399/Sequin-Heart-Wrap_Medium_ID-517156.jpg?v=517156,Sequin_Hearts_Wrap.jpg,https://www.allfreecrochet.com/Crochet-Wrap-Patterns/Sequin-Hearts-Wrap,,
Griffin Shawl,"""For this crochet shawl / scarf, I chose Lion Brand Yarns Mandala in Griffin, which is a DK weight, self-striping yarn. All of the colorwork was done for me which made this a perfect crochet project for binge watching my favorite TV shows. And I don’t know about you, but my favorite part about this yarn is that I wasn’t left with a bunch of ends to weave in! This shawl pattern size is easily customizable.""",Beginner,J/10 or 6 mm hook,(3) Light/DK (21-24 stitches to 4 inches),,https://irepo.primecp.com/2019/05/412207/Griffin-Shawl_Large400_ID-3226993.jpg?v=3226993,Griffin_Shawl.jpg,https://www.allfreecrochet.com/Shawls/Griffin-Shawl,,
Butterfly Vibe 12-inch Afghan Square,"""This beautiful 12″ afghan square is simple, quick to work up, and gorgeous! This square pattern reminds me of a butterfly’s wings so we are calling it the Butterfly Vibe Afghan Square.  If you’re not familiar with afghan squares, what’s great about them is that yes, you can compile a bunch of them into one large blanket, but you can also whip up one for a child’s lovey (I’d just keep adding more rows) or make two of them to form a pillow cover!""",Beginner,J/10 or 6 mm hook,(4) Medium Weight/Worsted Weight and Aran (16-20 stitches to 4 inches),"12"" square",https://irepo.primecp.com/2024/03/577966/1710212026_601518_Large600_ID-5510131.jpg?v=5510131,Butterfly_Vibe_12-inch_Afghan_Square.jpg,https://www.allfreecrochet.com/Crochet-Afghan-Patterns/Butterfly-Vibe-12-inch-Afghan-Square-154599,,
Candy Swirl Shawl,"""With warm weather and bright spring colors making the world feel extra inspirational lately, this free shawl crochet pattern is perfect for the season! The stripes give you the perfect opportunity to play with color, while the fun swirl adds a unique element. Add a lovely texture to the mix, and you’ll enjoy having this crochet shawl fly off your hook! This free crochet shawl pattern features DK (3) or Light Worsted (4) Weight Yarn and size 6.5mm crochet hook.""",Beginner,K/10.5 or 6.5 mm hook,(3) Light/DK (21-24 stitches to 4 inches),"Child, Pre-teen/Teen, or Adult",https://irepo.primecp.com/2017/06/336595/Candy-Swirl-Shawl_Large600_ID-2302955.jpg?v=2302955,Candy_Swirl_Shawl.jpg,https://www.allfreecrochet.com/Shawls/Candy-Swirl-Shawl,8 sts and 8 rows = 4 inches in Single Crochet,
Lisa Wrap,"""The Lisa Wrap was inspired by my Fins Wrap, and can be made to any size you would like, you are only limited by how much yarn you have! The sample was made with 1 full skein of Lisa Souza Hardtwist, 100% Superwash Merino. Buy a second skein for a nice long wrap, or stay with just one skein for a pretty, smaller wrap as seen in the sample. So grab your hook and get creating!""",Intermediate,4.5 mm hook,(2) Fine (23-26 stitches to 4 inches),48″ x 13″,https://irepo.primecp.com/2017/05/330464/Lisa-Wrap_Large600_ID-2232483.jpg?v=2232483,Lisa_Wrap.jpg,https://www.allfreecrochet.com/Shawls/Lisa-Wrap,17 sts x 9 rows = 4” [10 cm] in dc,
Sargassum,"""Capture the feeling of delicate, lacy strands of seaweed, white sand beaches littered with shells, and the sparkle of sunshine on the clear, blue ocean. Sargassum is the name of a seaweed that washes ashore on the gulf beaches of Florida, where I recently went for a vacation. The days were full of warm sunshine, but there was still enough of a chill in the early mornings and late evenings to make this shawl a welcome accessory. The striping pattern gently shifts from more green to more blue, without repeating, while optional beads add a nice weight, and occasional sparkle as they catch the sunlight.""",Intermediate,G/6 or 4 mm hook,(2) Fine (23-26 stitches to 4 inches),About 27 x 60 inches after blocking.,https://irepo.primecp.com/2017/07/338244/Sargassum_ExtraLarge700_ID-2322555.jpg?v=2322555,Sargassum.jpg,https://www.allfreecrochet.com/Shawls/Sargassum,17 dc x 7 rows = 4 inches (after blocking). Exact gauge is not critical.,Includes full charts too!
One Skein Lilac Blanket,"This One Skein Lilac Blanket is the best free crochet pattern to make for any little baby in your life. Beautiful light purple yarn makes this an excellent choice for a spring baby, but you're welcome to use any color Caron One Pound yarn for this particular crocheted afghan. The texture and timeless design of this baby blanket makes this a classic item that will be cherished for years to come. Plus, it works up quickly, making this a wonderful choice for holiday gifts and baby showers.",Beginner,K/10.5 or 6.5 mm hook,(4) Medium Weight/Worsted Weight and Aran (16-20 stitches to 4 inches),"Approx 34"" [86.5 cm] square",https://irepo.primecp.com/2017/04/326071/One-Skein-Lilac-Blanket_Large500_ID-2180537.jpg?v=2180537,One_Skein_Lilac_Blanket.jpg,https://www.allfreecrochet.com/Baby-Afghan-Crochet-Patterns/One-Skein-Lilac-Blanket-Caron,"3 clusters and 6 rows = 4"" [10 cm] in pat",
Say a Little Prayer Shawl,"The Say a Little Prayer Shawl from Red Heart is an easy crochet pattern to make for someone that need a little extra comfort and support in their life. If you or someone you know is struggling either mentally, emotionally, or physically, then this free crochet shawl is just what the doctor ordered. It will not only provide warmth to anyone that wears it, but also comfort and love. It's a truly heartwarming feeling to know that this cozy crochet shawl was made specifically for you by someone that loves you.",Beginner,I/9 or 5.5 mm hook,(4) Medium Weight/Worsted Weight and Aran (16-20 stitches to 4 inches),Shawl is 18” wide x 56” long,https://irepo.primecp.com/2015/01/204910/say-a-little-prayer-shawl_Large500_ID-834104.jpg?v=834104,Say_a_Little_Prayer_Shawl.jpg,https://www.allfreecrochet.com/Prayer-Shawls/Say-a-Little-Prayer-Shawl-Red-Heart,15 sts = 4”; 12 rows = 4” in pattern stitch,
Sand Dollar Dream Afghan,"Make this Sand Dollar Dream Afghan if you're looking to brighten up your home.  The beautiful star design will make you feel like you're relaxing under the evening sky or surfing the waves at the beach. This free crochet afghan pattern by Bernat is an intermediate crochet pattern to complete. Use your two favorite contrasting colors to complete this homemade blanket, or choose two colors that match your home decor. It measures approximately 44 by 54 inches when complete. Use your two favorite contrasting colors to complete this homemade blanket, or choose two colors that match your home decor. It measures approximately 44 by 54 inches when complete.

Thanks to imjstagrl 6312434 for the great name suggestion! You all had amazing suggestions!",Intermediate,J/10 or 6 mm hook,(4) Medium Weight/Worsted Weight and Aran (16-20 stitches to 4 inches),,https://irepo.primecp.com/2018/02/365112/Sand-Dollar-Dream-Afghan-new_Large500_ID-2647339.jpg?v=2647339,Sand_Dollar_Dream_Afghan.jpg,https://www.allfreecrochet.com/Crochet-Afghan-Patterns/Sand-Dollar-Dream-Afghan,,
Shamrock Granny Square,"""Easy to follow crochet pattern of 10x10cm/4x4"" square with 3D shamrock motif.
Use very small amounts of DK yarn (10g for each square!) to create unique squares, that you can combine with other square motif and make crochet design of your dreams. Make a blanket, bag, sweater or bunting to celebrate st Patrick's Day!
There's a row by row stitch count for each square.

Skills required (US terms):
-crocheting in rows
-crocheting in rounds
-single crochet
-half double crochet

Pattern is written in US terms, in ENGLISH ONLY.""",Beginner,D/3 or 3.25 mm hook,(3) Light/DK (21-24 stitches to 4 inches),"10x10cm/4x4""",https://irepo.primecp.com/2025/03/598017/1741179583_116150jpeg_Large600_ID-5799848.jpg?v=5799848,Shamrock_Granny_Square.jpg,https://www.allfreecrochet.com/Home-Decorating/Shamrock-Granny-Square-184684,"10 rounds = 10x10cm/4x4""",
The Shell Fold Napkin Edging | Free Crochet Pattern,"""There’s something quietly beautiful about the small details that bring a table together—the kind that feel effortless, yet completely intentional.

This crochet-edged linen napkin was inspired by a moment in Chapter 2 of The Sea Glass Journal, where a simple folding technique transforms an ordinary cloth into something sculptural and refined. With just a few folds and a delicate shell edging, the napkin settles into shape naturally—soft, balanced, and unexpectedly elegant.

The edging is worked in a classic shell pattern using cotton yarn, adding texture and a subtle decorative finish without overwhelming the simplicity of the linen. Paired with an accordion-style fold and a napkin ring, it becomes a beautiful detail for everyday dining or special occasions alike.

Whether you’re setting a table for guests or simply elevating a quiet meal at home, this design is a reminder that the smallest creative touches can make a lasting impression.

The Story Behind the Design

In Chapter 2 of The Sea Glass Journal, the task seems simple—prepare the table. But like so many moments in the story, it’s the quiet transformation of something ordinary that stands out.

“She wanted cloth—folded. Something sculptural…”

With a few deliberate movements, the napkin becomes more than functional. It becomes part of the atmosphere—something thoughtful, something beautiful, something just right.

This pattern was created to capture that feeling.

If you’d like to experience the full moment that inspired this design, you can watch Chapter 2 here:""",Beginner,B/1 or 2.25 mm hook,(1) Super Fine (27-32 stitches to 4 inches),20 in (50cm) square.,https://irepo.primecp.com/2026/03/609853/1773961519_664535_Large600_ID-5971796.png?v=5971796,The_Shell_Fold_Napkin_Edging__Free_Crochet_Pattern.jpg,https://www.allfreecrochet.com/Home-Decorating/The-Shell-Fold-Napkin-Edging-Free-Crochet-Pattern-192923,5 sts = 1 in,
Frost Blossom Cowl Crochet Pattern,"""Wrap yourself in cozy texture with the Frost Blossom Cowl, a beautifully simple crochet pattern designed for comfort, style, and everyday wear.
This cowl is part of the Frost Blossom Collection, a special collaboration between Vicky and her daughter Casey. Using the same stitch and yarn combination as the rest of the collection, this piece brings that signature “frost meets bloom” look into a wearable accessory you’ll reach for all season long.
The pattern features the lemon peel stitch—a relaxing combination of single and double crochet stitches that creates a soft, textured fabric with a woven look. It’s easy to learn, enjoyable to repeat, and perfect for crocheters of all skill levels.
This cowl is worked flat in rows and then seamed, making construction simple while still giving you a polished finished piece.
""",Beginner,I/9 or 5.5 mm hook,(4) Medium Weight/Worsted Weight and Aran (16-20 stitches to 4 inches),,https://irepo.primecp.com/2026/03/609848/1773945632_152715_Large400_ID-5971723.jpg?v=5971723,Frost_Blossom_Cowl_Crochet_Pattern.jpg,https://www.allfreecrochet.com/Crochet-Accessories/Frost-Blossom-Cowl-Crochet-Pattern-192918,,
Lilienne Poncho,"""The Lilienne Poncho is a lightweight rectangle poncho that’s simple to crochet and easy to wear.

Worked in one piece with an airy mesh yoke and textured crossed stitches, it creates a beautiful drape while staying light and breathable.

The design can be worn two ways, giving you a choice of neckline styles with the same piece.

One size fits most body types. Front and back panels measure 38 inches each (76 inches total circumference).

An easy, go-to piece that feels just as lovely to wear as it is to crochet.

/DETAILS
Skill level : Beginner Friendly
US Terminology

/MATERIALS
4mm / G-6 Crochet Hook
Cotton DK (#3 weight) yarn; 1205 yards
Stitch Markers
Tape Measure
Scissors
Needle

/FINISHED SIZE
Each panel measures approx. 38 inches / 97cm (W) X 20 inches / 51 cm (L)

Front and back panels: 38 inches each (76 inches total circumference)

/STITCHES AND ABBREVIATIONS USED
Single crochet (sc)
Double crochet (dc)
Crossed Double Crochet (Xdc)
Slip stitch (sl st)

Chain/s (ch/s)
Continue (cont)
Each (ea)
Previous (prev)
Repeat (rep)
Right Side (RS)
Skip (sk)
Space (sp)
Stitch (st)""",Beginner,G/6 or 4 mm hook,(3) Light/DK (21-24 stitches to 4 inches),One Size Front and back panels: 38 inches each (76 inches total circumference),https://irepo.primecp.com/2026/03/609843/1773924833_532770_Large600_ID-5971648.png?v=5971648,Lilienne_Poncho.jpg,https://www.allfreecrochet.com/Tops/Lilienne-Poncho-192917,"14 stitches and 10 rows = 4” x 4” Pattern used for gauge swatch:  1 row double crochet, 1 row crossed double crochet alternating 5 times",
Small Alligator,"""Introducing the Small Crochet Alligator! This cutie is quick to make and full of personality, featuring the option to make him all one color or add a colored tummy in the color of your choosing. Its compact size makes it ideal for using up leftover yarn while creating something irresistibly cute.

Whether you keep it as a miniature plush or attach it to a keychain to carry a bit of handmade happiness wherever you go, this little alligator is sure to bring smiles. With simple shaping and playful details, it’s a fun project that works up quickly and makes a delightful addition to any crochet collection, a gift for someone, or to be sold at craft fairs. 
PATTERN INFORMATION
+ The pattern is written in English using US crochet terminology.

SKILLS NEEDED
+ The skill level needed is advanced beginner.  
+ The techniques you will need to know include chain, single crochet, slip stitch, single crochet increase and decrease, invisible decrease, working in the back bar of the ch, bobble stitch, starting an oval piece with a foundation chain, and the adjustable (magic) ring. 

MATERIALS NEEDED (more specifics are noted within the pattern)
+ yarn in your choice of colors (about 44 yds/40 m of worsted/aran)
+ a size E/4 (3.5 mm) crochet hook
+ stitch markers 
+ tapestry needle 
+ stuffing
+ pins
+ scissors 
+ safety eyes
+ chopstick to help stuff

FINISHED MEASUREMENTS
+ Using hook size E/4 (3.5 mm) and worsted yarn, the Small Crochet Alligator measures approx. 3.25 inches (8.25 cm) tall. 
+ Using hook size 1.50 mm and size 10 crochet thread, the Miniature Small Crochet Alligator measures approx. 1.5 inches (3.5 cm) tall.
""",Beginner,E/4 or 3.5 mm hook,(4) Medium Weight/Worsted Weight and Aran (16-20 stitches to 4 inches),approx. 3.25 inches (8.25 cm) tall,https://irepo.primecp.com/2026/03/609817/1773718930_305943_Large600_ID-5971275.jpg?v=5971275,Small_Alligator.jpg,https://www.allfreecrochet.com/Crochet-Amigurumi-Patterns/Small-Alligator-192896,"Gauge is not essential to this project, but a tight, even tension should be maintained.",
Sweet Berry Continuous Granny Square Baby Blanket,"""An easy continuous granny square baby blanket made with soft cotton yarn. Perfect for stroller rides, car seats, and cozy snuggles.
This is a simple and enjoyable pattern that’s perfect for beginners. It’s a great project for making a crochet baby blanket, car seat blanket, crib blanket, throw, or lapghan.
It’s a great way to learn how to crochet a classic granny square blanket. The pattern includes clear, step-by-step written instructions, and if you ever feel unsure or need a little extra guidance, there’s a full video tutorial that walks you through every step of making your blanket.
Weekend Crochet Project
""",Beginner,H/8 or 5 mm hook,(4) Medium Weight/Worsted Weight and Aran (16-20 stitches to 4 inches),,https://irepo.primecp.com/2026/03/609805/1773711543_191535_Large400_ID-5971093.jpg?v=5971093,Sweet_Berry_Continuous_Granny_Square_Baby_Blanket.jpg,https://www.allfreecrochet.com/Crochet-Afghan-Patterns/Sweet-Berry-Continuous-Granny-Square-Baby-Blanket-192893,,
Princess Buttercup Crochet Dress Pattern,"""Free Crochet Sundress Pattern: Princess Buttercup Lace Sundress
A breezy crochet sundress made from delicate floral strips and flattering wedge panels that create an elegant A-line silhouette. The adjustable corset-style back allows for a customizable fit, making this dress perfect as a summer outfit or a stylish beach cover-up.

This lightweight crochet dress works beautifully in cotton or bamboo yarns and can easily transition from daytime beachwear to evening resort style.

The pattern is available in 3 loose size ranges and has a customizable fit with a corset tie in the back. The pattern features #3 dk weight yarn and offers many suggested yarns in a variety of fibers and budgets.""",Intermediate,G/6 or 4 mm hook,(3) Light/DK (21-24 stitches to 4 inches),Small (32–34″ bust) Medium (36–38″ bust) Large (40–42″ bust)  The corset-style back allows for adjustable fit across a range of body shapes.,https://irepo.primecp.com/2026/03/609795/1773701877_729832_Large500_ID-5970947.jpg?v=5970947,Princess_Buttercup_Crochet_Dress_Pattern.jpg,https://www.allfreecrochet.com/Tops/Princess-Buttercup-Crochet-Dress-Pattern-192889,"1 Flower Strip = 4″ (10 cm) wide, after blocking 6 rows stitch pattern (one repeat) = 2 3/4″ [7 cm] long, after blocking 16 dc = 4″ (10 cm) Take time to check gauge.",
How To Front Loop Double Crochet,"""Do you want to learn how to front loop double crochet (FLdc)? If so, this tutorial is just right for you!

This post will cover the basics of front loop double crochet stitches, materials needed, abbreviations and charts symbol, tutorials with photos and video, as well as answering frequently asked questions about this technique. In addition, I’ll provide related posts that you might find useful in mastering this stitch.

Everyone from crochet beginners to experienced crocheters can benefit from learning this versatile crochet stitch which can be used for crochet projects like garments and accessories. It is also great for creating different textures on crochet fabrics. So let’s get started!""",Beginner,,(4) Medium Weight/Worsted Weight and Aran (16-20 stitches to 4 inches),,https://irepo.primecp.com/2026/03/609789/1773680284_901619_Large600_ID-5970855.jpg?v=5970855,How_To_Front_Loop_Double_Crochet.jpg,https://www.allfreecrochet.com/Tutorials/How-To-Front-Loop-Double-Crochet-192884,,
How To Get A Flat Wrong Side In Overlay Mosaic Crochet With Anchored Double Crochet,"""If you want to achieve a flat wrong side in overlay mosaic crochet, then you’re at the right place.

This technique involves crocheting the double crochet stitches a bit different that normal in overlay mosaic crochet & the result is a flat surface at the back instead of uneven ridges.

Having a flat backside on your mosaic crochet projects can be the nice finish you are looking for on your mosaic crochet projects.

The anchored double crochet stitch is just what you need to implement to get those results. Let’s dive into this technique.""",Beginner,,(4) Medium Weight/Worsted Weight and Aran (16-20 stitches to 4 inches),,https://irepo.primecp.com/2026/03/609788/1773679523_96403_Large600_ID-5970839.jpg?v=5970839,How_To_Get_A_Flat_Wrong_Side_In_Overlay_Mosaic_Crochet_With_Anchored_Double_Crochet.jpg,https://www.allfreecrochet.com/Tutorials/How-To-Get-A-Flat-Wrong-Side-In-Overlay-Mosaic-Crochet-With-Anchored-Double-Crochet-192881,,
How To Overlay Mosaic Crochet Without Cutting Yarn,"""In this tutorial you’ll learn how to overlay mosaic crochet without cutting yarn.

If you love overlay mosaic crochet, but don’t like all the ends to weave in, then you’ve come to the right place.

While mosaic crochet can be fun & amazing, there’s no secret that the amount of yarn ends to weave in is a bit of a downside. There’s some great techniques that solves that issue, like creating fringe with the ends to weave in or a double layered crocheted border.

But isn’t it better to avoid cutting the yarn at all? Let’s dive into this technique.""",Beginner,,(4) Medium Weight/Worsted Weight and Aran (16-20 stitches to 4 inches),,https://irepo.primecp.com/2026/03/609786/1773676939_383570_Large600_ID-5970809.jpg?v=5970809,How_To_Overlay_Mosaic_Crochet_Without_Cutting_Yarn.jpg,https://www.allfreecrochet.com/Tutorials/How-To-Overlay-Mosaic-Crochet-Without-Cutting-Yarn-192879,,
Crochet Phone Pocket,"""Create a stylish and practical crochet phone pocket with this easy and beginner-friendly pattern. This crochet cellphone pouch is designed to keep your phone safe while adding a touch of handmade charm to your everyday accessories. With simple stitches and a compact design, it’s a fun project for anyone who loves making useful crochet items. Whether you’re heading out for a quick errand, a walk, or a casual day out, this crochet phone purse keeps your essentials close and organized.

This versatile crochet phone pouch can also work as a small crochet wallet purse or mini bag for carrying cards, cash, earbuds, or other tiny essentials. The lightweight design makes it comfortable to wear, especially when made as a crochet crossbody bag with a long strap. You can easily customize your crochet mobile bag by choosing different yarn colors, adding buttons, tassels, or textured stitches to match your personal style. It’s a great way to turn a simple accessory into something unique and handmade.

If you enjoy making crochet phone accessories, this project is both practical and creative. The crochet phone bag is perfect for everyday use, travel, festivals, or quick trips when you only need the basics. It’s also a wonderful handmade gift idea for friends, teens, and family members who appreciate useful DIY items. Small crochet projects like this are ideal for using leftover yarn while creating something beautiful and functional.

Whether you call it a crochet cellphone pouch, crochet earphone pouch, crochet wallet purse, or crochet phone bag, this pattern is a simple and satisfying make. Add this cute DIY phone pouch to your list of crochet projects and enjoy crafting an accessory you can use every day.""",Beginner,G/6 or 4 mm hook,(4) Medium Weight/Worsted Weight and Aran (16-20 stitches to 4 inches),,https://irepo.primecp.com/2026/03/609763/1773610622_838410_Large600_ID-5970464.jpg?v=5970464,Crochet_Phone_Pocket.jpg,https://www.allfreecrochet.com/Crochet-Accessories/Crochet-Phone-Pocket-192863,,
Crochet V-neck Sweater Pattern,"""The Crochet V-neck Sweater Pattern brings a classic twist to the free easy crochet sweater pattern scene, making it a great addition to your crocheted garments.

Using simple, beginner friendly stitches like the half double crochet stitch, this crochet pattern helps you craft a classic silhouette that can be worn for casual outings or dressed up for special occasions.

Make this amazing v-neck sweater part of your wardrobe for a good, modern look with minimal effort.

Find more: 25+ crochet sweater pattern collection.""",Beginner,J/10 or 6 mm hook,(3) Light/DK (21-24 stitches to 4 inches),,https://irepo.primecp.com/2026/03/609761/1773599844_137798_Large600_ID-5970434.jpg?v=5970434,Crochet_V-neck_Sweater_Pattern.jpg,https://www.allfreecrochet.com/Sweaters/Crochet-V-neck-Sweater-Pattern-192861,,
